job_no,customer_id,contact_id,tenant_id,division,product_type,description,quantity,size,stock_code,colours,finishing,current_stage,received_at,promised_dispatch,actual_dispatch,collection_site,value
4378,5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ff084025-060b-5b7b-af58-dc658925bc47,ramco-printing,IX,branded mugs,500 x branded mugs,500,A4,STK-SILK-130,4/0,{},dispatched,2026-04-04 00:00:00,2026-04-08,2026-04-08,"Ramco Group Industrial Park, Mombasa Road",9687.12
4379,71f182a2-d09a-2665-8734-875de9eb67ab,d0c40128-9bdc-e688-2df3-c8c4f7a62867,ramco-printing,IX,vehicle branding set,"1,000 x vehicle branding set",1000,A5,STK-GLOSS-170,4/4,"{FIN-SPOTUV,FIN-WIRO}",delivered,2025-12-11 00:00:00,2025-12-18,2025-12-20,"Ramco Group Industrial Park, Mombasa Road",182998.93
4380,0cd87a05-096d-b4c7-e804-63323654b0e1,e49442d0-dccc-078a-807c-fd9ad5a12999,ramco-printing,DUO,monthly magazine,"2,000 x monthly magazine",2000,std,STK-KRAFT-280,4/4,{},dispatched,2026-04-11 00:00:00,2026-04-16,2026-04-15,"Ramco Group Industrial Park, Mombasa Road",134770.22
4381,30917424-9b81-3f23-0d08-4a01d60b505d,22ea34e6-8e07-f76d-1702-91d1ba5c03b1,ramco-printing,DUO,carton sleeve,500 x carton sleeve,500,A3,STK-BOARD-350,4/4,{FIN-SADDLE},delivered,2026-05-30 00:00:00,2026-06-08,2026-06-05,"Ramco Group Industrial Park, Mombasa Road",71320.38
4382,deb58e5a-b7db-6abd-2127-de093774500c,59f52611-304b-429a-3991-6cfa1991d51c,ramco-printing,IX,exhibition backdrop,500 x exhibition backdrop,500,A4,STK-REC-120,4/0,{},delivered,2025-12-28 00:00:00,2026-01-02,2026-01-01,"Ramco Group Industrial Park, Mombasa Road",42131.71
4383,23b9fd40-2749-b0ff-abc4-b43aae0ffd83,99535b49-4cc3-9533-cd19-daf4845bcaf5,ramco-printing,DUO,instruction leaflet,"2,000 x instruction leaflet",2000,90x54mm,STK-GLOSS-170,1/0,{FIN-FOIL},dispatched,2026-06-22 00:00:00,2026-06-27,2026-06-27,"Ramco Group Industrial Park, Mombasa Road",33466.47
4384,5f66bb0d-da5a-b328-4211-0288cdc4ba6f,dc2254cf-5a5e-592b-3ab6-d4f483210d81,ramco-printing,IX,outdoor signage panel,"5,000 x outdoor signage panel",5000,A5,STK-BOARD-350,4/4,{FIN-SADDLE},delivered,2026-06-14 00:00:00,2026-06-22,2026-06-22,"Ramco Group Industrial Park, Mombasa Road",939109.52
4385,f0976376-bdc7-6d35-b8b2-e6e3cb2a0036,219cc90c-4bdc-b03c-9b49-6226149148ae,ramco-printing,IX,pull-up banner,250 x pull-up banner,250,A4,STK-REC-120,4/4,"{FIN-CASE,FIN-SADDLE}",delivered,2026-05-14 00:00:00,2026-05-19,2026-05-19,"Ramco Group Industrial Park, Mombasa Road",15501.71
4386,52b54707-0030-b7df-aa8c-0f0777fd344d,c231304b-d8b6-2822-ec28-bd04fed209ea,ramco-printing,HEX,A5 softcover journal,"5,000 x A5 softcover journal",5000,90x54mm,STK-BOARD-350,1/0,"{FIN-CASE,FIN-DIECUT}",dispatched,2026-03-23 00:00:00,2026-03-30,2026-03-30,"Ramco Group Industrial Park, Mombasa Road",164485.66
4387,d111925e-7504-d72d-152e-503bed7db6cc,ca320f44-32ef-0807-48a1-028f7a308ec3,ramco-printing,DUO,carton sleeve,250 x carton sleeve,250,90x54mm,STK-KRAFT-280,4/4,"{FIN-DIECUT,FIN-CASE}",delivered,2026-04-18 00:00:00,2026-04-23,2026-04-22,"Ramco Group Industrial Park, Mombasa Road",42231.45
4388,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,2ab534a3-f438-f606-437c-af59e745e900,ramco-printing,UNO,A4 brochure 8pp,"1,000 x A4 brochure 8pp",1000,std,STK-REC-120,1/0,{FIN-CASE},delivered,2026-05-29 00:00:00,2026-06-04,2026-06-05,"Dunga Close, Industrial Area",90769.65
4389,92eba0e3-1087-a447-9bae-74f56bef94c2,91bc18f7-c9a7-df36-290a-1d75df00ec35,ramco-printing,UNO,letterheads,"2,000 x letterheads",2000,A3,STK-REC-120,1/0,"{FIN-SOFTLAM,FIN-WIRO}",delivered,2026-04-26 00:00:00,2026-05-04,2026-05-01,"Dunga Close, Industrial Area",267575.19
4390,de046c82-323a-44d9-4bbd-387ca8ad5f7b,63a091fe-c997-65ae-ba4b-57b2cf5f8154,ramco-printing,UNO,A5 flyers,"10,000 x A5 flyers",10000,A5,STK-SILK-150,4/4,{FIN-SOFTLAM},dispatched,2025-12-30 00:00:00,2026-01-03,2026-01-03,"Dunga Close, Industrial Area",589755.05
4391,61a6c6b5-7d4a-e5df-355b-adfdc4bf176a,2bf3e9fe-1913-608e-8147-3b4564b45b91,ramco-printing,HEX,desk diary 2027,"5,000 x desk diary 2027",5000,std,STK-REC-120,1/0,{FIN-SADDLE},delivered,2026-06-26 00:00:00,2026-07-02,2026-07-01,"Ramco Group Industrial Park, Mombasa Road",400300.3
4392,d111925e-7504-d72d-152e-503bed7db6cc,ca320f44-32ef-0807-48a1-028f7a308ec3,ramco-printing,UNO,business cards,250 x business cards,250,std,STK-BOARD-250,4/0,{FIN-FOIL},dispatched,2026-02-01 00:00:00,2026-02-10,2026-02-08,"Dunga Close, Industrial Area",3412.06
4393,f0976376-bdc7-6d35-b8b2-e6e3cb2a0036,219cc90c-4bdc-b03c-9b49-6226149148ae,ramco-printing,HEX,pocket diary 2027,"5,000 x pocket diary 2027",5000,std,STK-BOND-100,4/4,"{FIN-SPOTUV,FIN-SOFTLAM}",dispatched,2026-02-18 00:00:00,2026-02-24,2026-02-22,"Ramco Group Industrial Park, Mombasa Road",119693.5
4394,b167d8bc-a690-30b7-4723-30caec70114d,a5585089-bfe6-5b07-3d4b-fdbc2c1ebc94,ramco-printing,IX,branded pens,"10,000 x branded pens",10000,90x54mm,STK-SILK-130,4/4,{FIN-WIRO},delivered,2026-01-13 00:00:00,2026-01-20,2026-01-20,"Ramco Group Industrial Park, Mombasa Road",119140.41
4395,4066f493-868c-4f3d-16c6-1a9458abe20c,2f03c25f-fe75-f120-6346-1fb694fcd7a0,ramco-printing,HEX,B5 notebook,"10,000 x B5 notebook",10000,A3,STK-BOARD-250,1/0,{FIN-DIECUT},delivered,2026-05-22 00:00:00,2026-05-28,2026-05-28,"Ramco Group Industrial Park, Mombasa Road",1761738.64
4396,5ed7e7d8-8371-128d-9e01-df5e9d3259b2,a2d67baf-cf49-0368-6246-39b37558304b,ramco-printing,UNO,compliment slips,500 x compliment slips,500,A5,STK-GLOSS-130,1/0,"{FIN-FOIL,FIN-MATTLAM}",dispatched,2026-03-08 00:00:00,2026-03-16,2026-03-16,"Dunga Close, Industrial Area",25713.75
4397,d7c87397-488b-3eac-c17d-b4e2b56cb2b7,9afd121d-b7d3-d644-bb60-8bfb6e20ba31,ramco-printing,IX,exhibition backdrop,250 x exhibition backdrop,250,A4,STK-BOARD-250,4/4,{},dispatched,2026-06-29 00:00:00,2026-07-08,2026-07-08,"Ramco Group Industrial Park, Mombasa Road",29993.07
4398,5ed7e7d8-8371-128d-9e01-df5e9d3259b2,a2d67baf-cf49-0368-6246-39b37558304b,ramco-printing,IX,exhibition backdrop,"5,000 x exhibition backdrop",5000,90x54mm,STK-SILK-150,4/4,"{FIN-FOIL,FIN-PERFECT}",delivered,2026-01-12 00:00:00,2026-01-20,2026-01-18,"Ramco Group Industrial Park, Mombasa Road",268009.66
4399,71f182a2-d09a-2665-8734-875de9eb67ab,d0c40128-9bdc-e688-2df3-c8c4f7a62867,ramco-printing,DUO,paperback book 300pp,"5,000 x paperback book 300pp",5000,A4,STK-GLOSS-170,4/4,"{FIN-MATTLAM,FIN-SOFTLAM}",delivered,2025-12-24 00:00:00,2025-12-29,2025-12-28,"Ramco Group Industrial Park, Mombasa Road",260295.61
4400,d7c87397-488b-3eac-c17d-b4e2b56cb2b7,9afd121d-b7d3-d644-bb60-8bfb6e20ba31,ramco-printing,UNO,A5 flyers,"1,000 x A5 flyers",1000,A3,STK-SILK-150,4/0,{},delivered,2025-11-14 00:00:00,2025-11-21,2025-11-21,"Dunga Close, Industrial Area",53688.34
4401,264f9508-8edc-52a7-5b1f-e22ec5f9d06b,01c4f432-629f-34fb-0349-aaed0409d7d5,ramco-printing,DUO,product label roll,250 x product label roll,250,90x54mm,STK-GLOSS-170,4/0,{FIN-SOFTLAM},delivered,2025-12-25 00:00:00,2026-01-02,2025-12-30,"Ramco Group Industrial Park, Mombasa Road",25704.18
4402,d57861d7-86fb-2683-58be-f8bcc467249b,eb478952-4ede-17a1-2259-372593df4dbe,ramco-printing,IX,exhibition backdrop,"2,000 x exhibition backdrop",2000,std,STK-BOARD-350,1/0,"{FIN-PERFECT,FIN-CASE}",delivered,2026-02-25 00:00:00,2026-03-07,2026-03-04,"Ramco Group Industrial Park, Mombasa Road",287332.88
4403,15b92953-241e-c9cb-1659-acf4af839420,27fd4830-cd23-5055-bb87-765dbb2a4cac,ramco-printing,HEX,B5 notebook,500 x B5 notebook,500,std,STK-BOND-100,4/4,"{FIN-SOFTLAM,FIN-FOIL}",dispatched,2026-04-26 00:00:00,2026-05-03,2026-05-02,"Ramco Group Industrial Park, Mombasa Road",41638.4
4404,30917424-9b81-3f23-0d08-4a01d60b505d,22ea34e6-8e07-f76d-1702-91d1ba5c03b1,ramco-printing,UNO,A5 flyers,"1,000 x A5 flyers",1000,A4,STK-BOARD-350,1/0,"{FIN-SPOTUV,FIN-WIRO}",delivered,2026-06-23 00:00:00,2026-06-30,2026-06-30,"Dunga Close, Industrial Area",202992.06
4405,52b54707-0030-b7df-aa8c-0f0777fd344d,c231304b-d8b6-2822-ec28-bd04fed209ea,ramco-printing,UNO,A4 brochure 8pp,"5,000 x A4 brochure 8pp",5000,A3,STK-GLOSS-130,4/4,{FIN-SPOTUV},delivered,2026-05-04 00:00:00,2026-05-14,2026-05-13,"Dunga Close, Industrial Area",1037348.16
4406,e5b83da9-b827-0066-25c5-51b7ad1bab29,3126df68-f4be-8288-3dd0-d076fadc6c2a,ramco-printing,IX,vehicle branding set,500 x vehicle branding set,500,std,STK-BOND-80,4/4,"{FIN-PERFECT,FIN-GLOSSLAM}",dispatched,2026-04-10 00:00:00,2026-04-16,2026-04-18,"Ramco Group Industrial Park, Mombasa Road",26677.19
4407,216e5023-45f9-fbac-d29d-859395858d97,2c995d46-5713-ab8f-9d1a-1c594a8a812d,ramco-printing,DUO,instruction leaflet,500 x instruction leaflet,500,std,STK-SILK-130,4/0,{FIN-FOIL},delivered,2026-08-01 00:00:00,2026-08-11,2026-08-08,"Ramco Group Industrial Park, Mombasa Road",65203.93
4408,b167d8bc-a690-30b7-4723-30caec70114d,a5585089-bfe6-5b07-3d4b-fdbc2c1ebc94,ramco-printing,DUO,monthly magazine,"5,000 x monthly magazine",5000,A3,STK-SILK-150,4/4,{FIN-SPOTUV},dispatched,2026-04-06 00:00:00,2026-04-11,2026-04-10,"Ramco Group Industrial Park, Mombasa Road",657276.0
4409,2a27a916-5c7e-b7da-75da-e841e7d303bc,b09d19e5-010d-4b02-8260-aab968ca19c4,ramco-printing,HEX,desk diary 2027,"2,000 x desk diary 2027",2000,A3,STK-BOND-100,4/0,"{FIN-GLOSSLAM,FIN-EMBOSS}",delivered,2026-07-24 00:00:00,2026-08-02,2026-07-31,"Ramco Group Industrial Park, Mombasa Road",42658.36
4410,4a36138b-484d-b384-052d-557184896331,7fffbc3f-5f0c-749f-fc40-918435e979df,ramco-printing,IX,branded pens,"1,000 x branded pens",1000,A3,STK-GLOSS-130,1/0,{},delivered,2026-01-30 00:00:00,2026-02-06,2026-02-04,"Ramco Group Industrial Park, Mombasa Road",37631.73
4411,d0cafddc-2be4-913d-30a1-8954f446d827,e7611437-9d00-66f8-bc94-cc3aa3e2ad45,ramco-printing,HEX,A5 hardcover notebook,"10,000 x A5 hardcover notebook",10000,A5,STK-BOND-100,4/0,{FIN-DIECUT},delivered,2026-01-05 00:00:00,2026-01-12,2026-01-12,"Ramco Group Industrial Park, Mombasa Road",721617.14
4412,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,2ab534a3-f438-f606-437c-af59e745e900,ramco-printing,HEX,A5 softcover journal,500 x A5 softcover journal,500,A4,STK-GLOSS-130,4/4,"{FIN-EMBOSS,FIN-CASE}",delivered,2026-05-28 00:00:00,2026-06-05,2026-06-02,"Ramco Group Industrial Park, Mombasa Road",61809.3
4413,92eba0e3-1087-a447-9bae-74f56bef94c2,91bc18f7-c9a7-df36-290a-1d75df00ec35,ramco-printing,UNO,A4 brochure 8pp,"5,000 x A4 brochure 8pp",5000,90x54mm,STK-GLOSS-130,1/0,{FIN-SADDLE},delivered,2025-12-07 00:00:00,2025-12-17,2025-12-13,"Dunga Close, Industrial Area",77574.85
4414,431a0612-649b-ac0c-b17f-741d131f33b3,584b3241-c9ee-a154-e860-4048b9bdf1a3,ramco-printing,IX,outdoor signage panel,"5,000 x outdoor signage panel",5000,A5,STK-BOARD-250,4/4,{},dispatched,2026-05-17 00:00:00,2026-05-24,2026-05-22,"Ramco Group Industrial Park, Mombasa Road",189220.15
4415,d0cafddc-2be4-913d-30a1-8954f446d827,e7611437-9d00-66f8-bc94-cc3aa3e2ad45,ramco-printing,HEX,pocket diary 2027,"2,000 x pocket diary 2027",2000,A3,STK-BOND-100,4/0,"{FIN-MATTLAM,FIN-SPOTUV}",dispatched,2026-02-02 00:00:00,2026-02-07,2026-02-07,"Ramco Group Industrial Park, Mombasa Road",255414.87
4416,216e5023-45f9-fbac-d29d-859395858d97,2c995d46-5713-ab8f-9d1a-1c594a8a812d,ramco-printing,DUO,instruction leaflet,"1,000 x instruction leaflet",1000,A3,STK-BOND-100,4/0,{FIN-PERFECT},delivered,2026-07-18 00:00:00,2026-07-23,2026-07-23,"Ramco Group Industrial Park, Mombasa Road",74193.39
4417,25eb2245-41ad-78e8-9a51-101ffb45ae29,5faee57e-5c1f-e2ff-1a10-8a11189b8a22,ramco-printing,UNO,A4 booklet 24pp,250 x A4 booklet 24pp,250,A5,STK-BOARD-250,4/0,{},delivered,2026-05-05 00:00:00,2026-05-13,2026-05-09,"Dunga Close, Industrial Area",27183.99
4418,5ed7e7d8-8371-128d-9e01-df5e9d3259b2,a2d67baf-cf49-0368-6246-39b37558304b,ramco-printing,HEX,A5 softcover journal,"5,000 x A5 softcover journal",5000,90x54mm,STK-BOARD-300,4/0,{},delivered,2026-01-21 00:00:00,2026-01-28,2026-01-25,"Ramco Group Industrial Park, Mombasa Road",71414.55
4419,e4a24a2b-9485-8c1f-0863-f6897e3d4a0f,7f03a13a-c22b-3530-2ef9-09b2f947b8f7,ramco-printing,DUO,product label roll,"1,000 x product label roll",1000,A5,STK-KRAFT-280,1/0,"{FIN-DIECUT,FIN-SOFTLAM}",delivered,2026-03-18 00:00:00,2026-03-25,2026-03-25,"Ramco Group Industrial Park, Mombasa Road",152769.88
4420,273f0a46-b0e0-15e4-2eea-537dd458199d,4291c571-c4fa-5036-e9bd-38c5528ee0cc,ramco-printing,DUO,folding carton,250 x folding carton,250,A3,STK-KRAFT-280,1/0,{FIN-SPOTUV},delivered,2026-04-29 00:00:00,2026-05-09,2026-05-09,"Ramco Group Industrial Park, Mombasa Road",16370.82
4421,92eba0e3-1087-a447-9bae-74f56bef94c2,91bc18f7-c9a7-df36-290a-1d75df00ec35,ramco-printing,UNO,presentation folder,"10,000 x presentation folder",10000,std,STK-GLOSS-170,4/0,"{FIN-GLOSSLAM,FIN-SPOTUV}",delivered,2026-05-22 00:00:00,2026-05-30,2026-05-29,"Dunga Close, Industrial Area",1367447.73
4422,5ed7e7d8-8371-128d-9e01-df5e9d3259b2,a2d67baf-cf49-0368-6246-39b37558304b,ramco-printing,IX,vehicle branding set,"1,000 x vehicle branding set",1000,A4,STK-BOND-100,4/0,{FIN-MATTLAM},delivered,2025-12-20 00:00:00,2025-12-27,2025-12-28,"Ramco Group Industrial Park, Mombasa Road",17850.08
4423,5824d67b-7c9b-d73a-a492-78cf9a10f5c7,8f3feab8-c665-c5fb-4b7b-ef79010f06d0,ramco-printing,DUO,carton sleeve,"10,000 x carton sleeve",10000,90x54mm,STK-BOND-100,4/0,"{FIN-CASE,FIN-PERFECT}",delivered,2026-05-17 00:00:00,2026-05-23,2026-05-23,"Ramco Group Industrial Park, Mombasa Road",1703115.55
4424,e2fb492f-f2af-0e4a-b09a-10a7853c7d4f,2ab534a3-f438-f606-437c-af59e745e900,ramco-printing,DUO,paperback book 300pp,"10,000 x paperback book 300pp",10000,A3,STK-KRAFT-280,4/4,{},delivered,2025-12-01 00:00:00,2025-12-11,2025-12-11,"Ramco Group Industrial Park, Mombasa Road",1839168.9
4425,de046c82-323a-44d9-4bbd-387ca8ad5f7b,63a091fe-c997-65ae-ba4b-57b2cf5f8154,ramco-printing,HEX,pocket diary 2027,250 x pocket diary 2027,250,A3,STK-KRAFT-280,1/0,{FIN-MATTLAM},dispatched,2026-04-09 00:00:00,2026-04-14,2026-04-14,"Ramco Group Industrial Park, Mombasa Road",8387.28
4426,cc9a38b8-22cd-3a50-f6b1-0a7fc187593a,d52d6b71-af68-8d69-44eb-89baadef9f17,ramco-printing,DUO,carton sleeve,"2,000 x carton sleeve",2000,A5,STK-BOND-100,1/0,{FIN-SOFTLAM},delivered,2025-12-02 00:00:00,2025-12-08,2025-12-07,"Ramco Group Industrial Park, Mombasa Road",396602.81
4427,0cd87a05-096d-b4c7-e804-63323654b0e1,e49442d0-dccc-078a-807c-fd9ad5a12999,ramco-printing,IX,branded pens,500 x branded pens,500,90x54mm,STK-SILK-150,4/0,"{FIN-PERFECT,FIN-GLOSSLAM}",delivered,2026-02-20 00:00:00,2026-02-25,2026-02-25,"Ramco Group Industrial Park, Mombasa Road",89548.72
4428,1bf05a35-f976-2230-177b-77f509bb7474,4e1c14e0-80a8-6d8a-bb9b-f9bd57fb2c1e,ramco-printing,UNO,annual report 48pp,"2,000 x annual report 48pp",2000,A5,STK-REC-120,1/0,"{FIN-SADDLE,FIN-MATTLAM}",dispatched,2026-06-18 00:00:00,2026-06-26,2026-06-24,"Dunga Close, Industrial Area",151442.54
4429,de046c82-323a-44d9-4bbd-387ca8ad5f7b,63a091fe-c997-65ae-ba4b-57b2cf5f8154,ramco-printing,UNO,annual report 48pp,250 x annual report 48pp,250,std,STK-BOND-100,1/0,{},dispatched,2026-05-18 00:00:00,2026-05-25,2026-05-24,"Dunga Close, Industrial Area",44811.0
4430,fdee6e16-066c-ffcc-87bd-d0d370dcd6eb,a589fd34-54a4-a88e-0448-fd72532b7ba8,ramco-printing,UNO,A4 booklet 24pp,"2,000 x A4 booklet 24pp",2000,std,STK-GLOSS-130,4/0,"{FIN-FOIL,FIN-DIECUT}",dispatched,2025-12-09 00:00:00,2025-12-17,2025-12-14,"Dunga Close, Industrial Area",195379.62
4431,0cd87a05-096d-b4c7-e804-63323654b0e1,e49442d0-dccc-078a-807c-fd9ad5a12999,ramco-printing,IX,eco gift set,250 x eco gift set,250,A5,STK-GLOSS-130,4/0,{FIN-SPOTUV},delivered,2026-07-11 00:00:00,2026-07-19,2026-07-16,"Ramco Group Industrial Park, Mombasa Road",43653.34
4432,e5b83da9-b827-0066-25c5-51b7ad1bab29,3126df68-f4be-8288-3dd0-d076fadc6c2a,ramco-printing,DUO,monthly magazine,"5,000 x monthly magazine",5000,A3,STK-BOND-100,4/4,{FIN-EMBOSS},delivered,2026-07-17 00:00:00,2026-07-24,2026-07-22,"Ramco Group Industrial Park, Mombasa Road",116606.78
4433,d111925e-7504-d72d-152e-503bed7db6cc,ca320f44-32ef-0807-48a1-028f7a308ec3,ramco-printing,UNO,A4 brochure 8pp,500 x A4 brochure 8pp,500,std,STK-GLOSS-130,4/4,{FIN-MATTLAM},dispatched,2026-01-01 00:00:00,2026-01-10,2026-01-07,"Dunga Close, Industrial Area",31282.86
4434,d95d24b0-7124-8976-27b6-d6d527788979,7f224e32-28b6-8045-4c63-712e8ba17415,ramco-printing,UNO,compliment slips,"2,000 x compliment slips",2000,A5,STK-BOARD-250,4/0,"{FIN-FOIL,FIN-SOFTLAM}",delivered,2026-02-20 00:00:00,2026-02-27,2026-02-28,"Dunga Close, Industrial Area",90924.34
4435,d57861d7-86fb-2683-58be-f8bcc467249b,eb478952-4ede-17a1-2259-372593df4dbe,ramco-printing,UNO,business cards,"5,000 x business cards",5000,A5,STK-BOARD-250,4/4,"{FIN-MATTLAM,FIN-SPOTUV}",dispatched,2025-12-27 00:00:00,2026-01-06,2026-01-06,"Dunga Close, Industrial Area",1013893.01
4436,e4a24a2b-9485-8c1f-0863-f6897e3d4a0f,7f03a13a-c22b-3530-2ef9-09b2f947b8f7,ramco-printing,HEX,A5 softcover journal,250 x A5 softcover journal,250,std,STK-KRAFT-280,4/0,{FIN-MATTLAM},delivered,2026-04-20 00:00:00,2026-04-26,2026-04-25,"Ramco Group Industrial Park, Mombasa Road",29901.49
4437,d0cafddc-2be4-913d-30a1-8954f446d827,e7611437-9d00-66f8-bc94-cc3aa3e2ad45,ramco-printing,UNO,annual report 48pp,"2,000 x annual report 48pp",2000,A4,STK-GLOSS-130,4/0,{FIN-CASE},delivered,2026-04-05 00:00:00,2026-04-15,2026-04-15,"Dunga Close, Industrial Area",27186.47
4438,f0976376-bdc7-6d35-b8b2-e6e3cb2a0036,219cc90c-4bdc-b03c-9b49-6226149148ae,ramco-printing,IX,outdoor signage panel,"1,000 x outdoor signage panel",1000,A5,STK-GLOSS-170,4/4,{},delivered,2026-03-21 00:00:00,2026-03-28,2026-03-24,"Ramco Group Industrial Park, Mombasa Road",47868.56
4439,de046c82-323a-44d9-4bbd-387ca8ad5f7b,63a091fe-c997-65ae-ba4b-57b2cf5f8154,ramco-printing,DUO,folding carton,"1,000 x folding carton",1000,std,STK-BOARD-350,4/0,"{FIN-FOIL,FIN-PERFECT}",dispatched,2026-02-11 00:00:00,2026-02-17,2026-02-17,"Ramco Group Industrial Park, Mombasa Road",164873.6
4440,dbc3b092-5210-ecf2-db66-87e70035347c,f89a46b6-7c1c-b426-62f3-8215dc07d6eb,ramco-printing,UNO,compliment slips,500 x compliment slips,500,std,STK-BOARD-250,4/4,{FIN-GLOSSLAM},dispatched,2026-04-09 00:00:00,2026-04-16,2026-04-14,"Dunga Close, Industrial Area",14290.48
4441,1fa48a73-7222-9877-55df-b36e5fc29844,3c156eb4-18f9-4428-6c5d-64c8c26b19a1,ramco-printing,IX,outdoor signage panel,500 x outdoor signage panel,500,A5,STK-SILK-130,4/4,{FIN-SOFTLAM},dispatched,2026-04-06 00:00:00,2026-04-13,2026-04-10,"Ramco Group Industrial Park, Mombasa Road",13960.75
4442,deb58e5a-b7db-6abd-2127-de093774500c,59f52611-304b-429a-3991-6cfa1991d51c,ramco-printing,DUO,folding carton,"2,000 x folding carton",2000,A4,STK-SILK-150,1/0,{FIN-PERFECT},delivered,2026-06-14 00:00:00,2026-06-23,2026-06-24,"Ramco Group Industrial Park, Mombasa Road",178663.66
4443,b57b7fce-5d68-09f5-81b2-64659e8e058a,9a2ad290-88ba-54aa-6f88-b9f37ff3f1c6,ramco-printing,UNO,business cards,250 x business cards,250,90x54mm,STK-REC-120,4/0,{},delivered,2026-05-04 00:00:00,2026-05-10,2026-05-09,"Dunga Close, Industrial Area",39705.3
4444,5abb59de-2e94-70ef-2be5-2f571f1cd5d0,ff084025-060b-5b7b-af58-dc658925bc47,ramco-printing,DUO,paperback book 300pp,"2,000 x paperback book 300pp",2000,A5,STK-KRAFT-280,1/0,"{FIN-SOFTLAM,FIN-MATTLAM}",delivered,2025-12-29 00:00:00,2026-01-05,2026-01-04,"Ramco Group Industrial Park, Mombasa Road",404085.66
4445,b167d8bc-a690-30b7-4723-30caec70114d,a5585089-bfe6-5b07-3d4b-fdbc2c1ebc94,ramco-printing,HEX,desk diary 2027,"10,000 x desk diary 2027",10000,A4,STK-BOARD-250,1/0,{},dispatched,2026-07-14 00:00:00,2026-07-20,2026-07-19,"Ramco Group Industrial Park, Mombasa Road",315501.19
4446,30917424-9b81-3f23-0d08-4a01d60b505d,22ea34e6-8e07-f76d-1702-91d1ba5c03b1,ramco-printing,IX,vehicle branding set,"1,000 x vehicle branding set",1000,std,STK-GLOSS-170,4/4,{FIN-GLOSSLAM},delivered,2026-05-17 00:00:00,2026-05-27,2026-05-24,"Ramco Group Industrial Park, Mombasa Road",27138.96
4447,40ce51ac-1c59-d345-c400-97e7d1a1bc8c,bdc4aacd-c2d2-e133-218b-83894882fb0d,ramco-printing,DUO,monthly magazine,250 x monthly magazine,250,A5,STK-BOND-100,4/4,{},delivered,2026-04-11 00:00:00,2026-04-19,2026-04-15,"Ramco Group Industrial Park, Mombasa Road",3691.73
4448,deb58e5a-b7db-6abd-2127-de093774500c,59f52611-304b-429a-3991-6cfa1991d51c,ramco-printing,HEX,A5 hardcover notebook,500 x A5 hardcover notebook,500,std,STK-SILK-130,1/0,{},dispatched,2026-06-27 00:00:00,2026-07-03,2026-07-03,"Ramco Group Industrial Park, Mombasa Road",23029.1
4449,f698aed6-9f84-5bec-cc70-d1998377c749,34710e36-9dd6-55be-0e49-909910e22277,ramco-printing,IX,outdoor signage panel,"5,000 x outdoor signage panel",5000,90x54mm,STK-BOARD-300,4/0,{},delivered,2026-01-28 00:00:00,2026-02-02,2026-02-02,"Ramco Group Industrial Park, Mombasa Road",246943.36
4450,dbc3b092-5210-ecf2-db66-87e70035347c,f89a46b6-7c1c-b426-62f3-8215dc07d6eb,ramco-printing,DUO,monthly magazine,"10,000 x monthly magazine",10000,A5,STK-GLOSS-170,1/0,"{FIN-SOFTLAM,FIN-MATTLAM}",delivered,2026-07-30 00:00:00,2026-08-03,2026-08-03,"Ramco Group Industrial Park, Mombasa Road",1621952.78
4451,f4bcea1c-a9fc-85f2-a1fc-4c957ae2f877,73800a44-d35e-e29d-51be-01169a00a81a,ramco-printing,HEX,desk diary 2027,500 x desk diary 2027,500,std,STK-BOND-100,1/0,{FIN-DIECUT},delivered,2026-04-22 00:00:00,2026-05-03,2026-05-01,"Ramco Group Industrial Park, Mombasa Road",91461.92
4452,ca2f6f71-ed08-482b-f26a-4d45fe5fdc9e,0d06d344-8393-6f82-5dab-a938201166ed,ramco-printing,HEX,B5 notebook,"2,000 x B5 notebook",2000,A4,STK-BOARD-250,4/4,"{FIN-DIECUT,FIN-PERFECT}",delivered,2025-11-30 00:00:00,2025-12-06,2025-12-04,"Ramco Group Industrial Park, Mombasa Road",70139.49
4453,b5c603f1-af1d-e19b-df98-e35de2c28820,f7cacdb6-53e3-7e1e-8258-7bd45176ac5e,ramco-printing,DUO,carton sleeve,500 x carton sleeve,500,A3,STK-BOARD-300,4/0,"{FIN-DIECUT,FIN-GLOSSLAM}",dispatched,2025-12-03 00:00:00,2025-12-11,2025-12-08,"Ramco Group Industrial Park, Mombasa Road",78893.18
4454,9851ce39-a8ef-7a3c-182e-195b8599613f,192aa3f8-38b9-74c1-ade3-9b26d174d57c,ramco-printing,UNO,A5 flyers,"10,000 x A5 flyers",10000,A4,STK-KRAFT-280,4/4,{FIN-PERFECT},delivered,2026-05-09 00:00:00,2026-05-18,2026-05-15,"Dunga Close, Industrial Area",871679.6
4455,deb58e5a-b7db-6abd-2127-de093774500c,59f52611-304b-429a-3991-6cfa1991d51c,ramco-printing,UNO,letterheads,"2,000 x letterheads",2000,A4,STK-BOARD-350,4/0,{},dispatched,2026-04-27 00:00:00,2026-05-05,2026-05-05,"Dunga Close, Industrial Area",285831.42
