flight_no,flight_date,seats_total,seats_sold,seats_remaining,status
F2-184,2026-08-26,50,46,4,open
F2-186,2026-08-26,50,28,22,open
F2-188,2026-08-26,50,34,16,open
F2-190,2026-08-26,37,34,3,open
F2-192,2026-08-26,37,37,0,closed
F2-194,2026-08-26,37,22,15,open
F2-196,2026-08-26,37,30,7,open
F2-102,2026-08-27,12,8,4,open
F2-104,2026-08-27,12,8,4,open
F2-106,2026-08-27,12,12,0,closed
F2-110,2026-08-27,12,9,3,open
F2-112,2026-08-27,12,9,3,open
F2-114,2026-08-27,12,10,2,open
F2-116,2026-08-27,12,12,0,closed
F2-118,2026-08-27,12,11,1,open
F2-122,2026-08-27,12,9,3,open
F2-124,2026-08-27,12,9,3,open
F2-126,2026-08-27,12,11,1,open
F2-130,2026-08-27,12,7,5,open
F2-132,2026-08-27,12,11,1,open
F2-134,2026-08-27,12,9,3,open
F2-138,2026-08-27,12,9,3,open
F2-140,2026-08-27,12,10,2,open
F2-142,2026-08-27,50,21,29,open
F2-146,2026-08-27,12,11,1,open
F2-148,2026-08-27,12,9,3,open
F2-150,2026-08-27,12,11,1,open
F2-152,2026-08-27,12,9,3,open
F2-154,2026-08-27,12,10,2,open
F2-158,2026-08-27,12,12,0,closed
F2-160,2026-08-27,50,39,11,open
F2-162,2026-08-27,50,48,2,open
F2-164,2026-08-27,50,47,3,open
F2-166,2026-08-27,50,37,13,open
F2-168,2026-08-27,50,33,17,open
F2-170,2026-08-27,37,36,1,open
F2-172,2026-08-27,37,26,11,open
F2-174,2026-08-27,37,26,11,open
F2-176,2026-08-27,37,31,6,open
F2-178,2026-08-27,50,43,7,open
F2-180,2026-08-27,50,34,16,open
F2-182,2026-08-27,50,43,7,open
F2-184,2026-08-27,50,50,0,closed
F2-186,2026-08-27,50,31,19,open
F2-188,2026-08-27,50,26,24,open
F2-190,2026-08-27,37,26,11,open
F2-192,2026-08-27,37,37,0,closed
F2-194,2026-08-27,37,23,14,open
F2-196,2026-08-27,37,30,7,open
F2-104,2026-08-28,12,10,2,open
F2-106,2026-08-28,12,9,3,open
F2-108,2026-08-28,12,9,3,open
F2-110,2026-08-28,12,12,0,closed
F2-112,2026-08-28,12,11,1,open
F2-114,2026-08-28,12,10,2,open
F2-118,2026-08-28,12,11,1,open
F2-120,2026-08-28,12,11,1,open
F2-122,2026-08-28,12,11,1,open
F2-126,2026-08-28,12,10,2,open
F2-128,2026-08-28,12,7,5,open
F2-130,2026-08-28,12,8,4,open
F2-132,2026-08-28,12,5,7,open
F2-134,2026-08-28,12,9,3,open
F2-136,2026-08-28,12,8,4,open
F2-138,2026-08-28,12,9,3,open
F2-140,2026-08-28,12,10,2,open
F2-142,2026-08-28,50,42,8,open
F2-144,2026-08-28,12,8,4,open
F2-146,2026-08-28,12,10,2,open
F2-148,2026-08-28,12,9,3,open
F2-150,2026-08-28,12,8,4,open
F2-152,2026-08-28,12,10,2,open
F2-154,2026-08-28,12,8,4,open
F2-156,2026-08-28,12,8,4,open
F2-158,2026-08-28,12,11,1,open
F2-160,2026-08-28,50,37,13,open
F2-162,2026-08-28,50,34,16,open
F2-164,2026-08-28,50,34,16,open
F2-166,2026-08-28,50,29,21,open
F2-168,2026-08-28,50,35,15,open
F2-170,2026-08-28,37,32,5,open
F2-172,2026-08-28,37,24,13,open
F2-174,2026-08-28,37,20,17,open
F2-176,2026-08-28,37,31,6,open
F2-178,2026-08-28,50,41,9,open
F2-180,2026-08-28,50,45,5,open
F2-182,2026-08-28,50,43,7,open
F2-184,2026-08-28,50,49,1,open
F2-186,2026-08-28,50,45,5,open
F2-188,2026-08-28,50,42,8,open
F2-190,2026-08-28,37,33,4,open
F2-192,2026-08-28,37,34,3,open
F2-194,2026-08-28,37,33,4,open
F2-196,2026-08-28,37,36,1,open
F2-102,2026-08-29,12,8,4,open
F2-104,2026-08-29,12,12,0,closed
F2-106,2026-08-29,12,12,0,closed
F2-110,2026-08-29,12,10,2,open
F2-112,2026-08-29,12,8,4,open
F2-114,2026-08-29,12,10,2,open
F2-116,2026-08-29,12,7,5,open
F2-118,2026-08-29,12,10,2,open
F2-122,2026-08-29,12,9,3,open
F2-124,2026-08-29,12,9,3,open
F2-126,2026-08-29,12,10,2,open
F2-130,2026-08-29,12,9,3,open
F2-132,2026-08-29,12,6,6,open
F2-134,2026-08-29,12,7,5,open
F2-138,2026-08-29,12,9,3,open
F2-140,2026-08-29,12,8,4,open
F2-142,2026-08-29,50,40,10,open
F2-146,2026-08-29,12,11,1,open
F2-148,2026-08-29,12,10,2,open
F2-150,2026-08-29,12,11,1,open
F2-152,2026-08-29,12,8,4,open
F2-154,2026-08-29,12,6,6,open
F2-158,2026-08-29,12,9,3,open
F2-160,2026-08-29,50,43,7,open
F2-162,2026-08-29,50,37,13,open
F2-164,2026-08-29,50,45,5,open
F2-166,2026-08-29,50,35,15,open
F2-168,2026-08-29,50,40,10,open
F2-170,2026-08-29,37,33,4,open
F2-172,2026-08-29,37,31,6,open
F2-174,2026-08-29,37,29,8,open
F2-176,2026-08-29,37,27,10,open
F2-178,2026-08-29,50,34,16,open
F2-180,2026-08-29,50,33,17,open
F2-182,2026-08-29,50,33,17,open
F2-184,2026-08-29,50,36,14,open
F2-186,2026-08-29,50,36,14,open
F2-188,2026-08-29,50,50,0,closed
F2-190,2026-08-29,37,28,9,open
F2-192,2026-08-29,37,29,8,open
F2-194,2026-08-29,37,26,11,open
F2-196,2026-08-29,37,29,8,open
F2-104,2026-08-30,12,11,1,open
F2-106,2026-08-30,12,10,2,open
F2-108,2026-08-30,12,11,1,open
F2-110,2026-08-30,12,8,4,open
F2-112,2026-08-30,12,9,3,open
F2-114,2026-08-30,12,10,2,open
F2-118,2026-08-30,12,8,4,open
F2-120,2026-08-30,12,11,1,open
F2-122,2026-08-30,12,9,3,open
F2-126,2026-08-30,12,12,0,closed
F2-128,2026-08-30,12,11,1,open
F2-130,2026-08-30,12,8,4,open
F2-132,2026-08-30,12,10,2,open
F2-134,2026-08-30,12,9,3,open
F2-136,2026-08-30,12,9,3,open
F2-138,2026-08-30,12,7,5,open
F2-140,2026-08-30,12,10,2,open
F2-142,2026-08-30,50,42,8,open
F2-144,2026-08-30,12,11,1,open
F2-146,2026-08-30,12,11,1,open
F2-148,2026-08-30,12,10,2,open
F2-150,2026-08-30,12,11,1,open
F2-152,2026-08-30,12,9,3,open
F2-154,2026-08-30,12,10,2,open
F2-156,2026-08-30,12,10,2,open
F2-158,2026-08-30,12,8,4,open
F2-160,2026-08-30,50,36,14,open
F2-162,2026-08-30,50,44,6,open
F2-164,2026-08-30,50,44,6,open
F2-166,2026-08-30,50,47,3,open
F2-168,2026-08-30,50,36,14,open
F2-170,2026-08-30,37,32,5,open
F2-172,2026-08-30,37,23,14,open
F2-174,2026-08-30,37,30,7,open
F2-176,2026-08-30,37,36,1,open
F2-178,2026-08-30,50,39,11,open
F2-180,2026-08-30,50,35,15,open
F2-182,2026-08-30,50,38,12,open
F2-184,2026-08-30,50,40,10,open
F2-186,2026-08-30,50,41,9,open
F2-188,2026-08-30,50,38,12,open
F2-190,2026-08-30,37,27,10,open
F2-192,2026-08-30,37,26,11,open
F2-194,2026-08-30,37,31,6,open
F2-196,2026-08-30,37,34,3,open
F2-104,2026-08-31,12,9,3,open
F2-106,2026-08-31,12,10,2,open
F2-108,2026-08-31,12,11,1,open
F2-110,2026-08-31,12,8,4,open
F2-112,2026-08-31,12,10,2,open
F2-114,2026-08-31,12,11,1,open
F2-118,2026-08-31,12,8,4,open
F2-120,2026-08-31,12,9,3,open
F2-122,2026-08-31,12,10,2,open
F2-126,2026-08-31,12,11,1,open
F2-128,2026-08-31,12,11,1,open
F2-130,2026-08-31,12,11,1,open
F2-132,2026-08-31,12,12,0,closed
F2-134,2026-08-31,12,9,3,open
F2-136,2026-08-31,12,11,1,open
F2-138,2026-08-31,12,8,4,open
F2-140,2026-08-31,12,7,5,open
F2-142,2026-08-31,50,36,14,open
F2-144,2026-08-31,12,9,3,open
F2-146,2026-08-31,12,10,2,open
F2-148,2026-08-31,12,8,4,open
F2-150,2026-08-31,12,11,1,open
F2-152,2026-08-31,12,12,0,closed
F2-154,2026-08-31,12,9,3,open
F2-156,2026-08-31,12,9,3,open
F2-158,2026-08-31,12,9,3,open
F2-160,2026-08-31,50,49,1,open
F2-162,2026-08-31,50,29,21,open
F2-164,2026-08-31,50,44,6,open
F2-166,2026-08-31,50,50,0,closed
F2-168,2026-08-31,50,46,4,open
F2-170,2026-08-31,37,29,8,open
F2-172,2026-08-31,37,28,9,open
F2-174,2026-08-31,37,28,9,open
F2-176,2026-08-31,37,37,0,closed
F2-178,2026-08-31,50,36,14,open
F2-180,2026-08-31,50,46,4,open
F2-182,2026-08-31,50,31,19,open
F2-184,2026-08-31,50,27,23,open
F2-186,2026-08-31,50,25,25,open
F2-188,2026-08-31,50,36,14,open
F2-190,2026-08-31,37,27,10,open
F2-192,2026-08-31,37,26,11,open
F2-194,2026-08-31,37,28,9,open
F2-196,2026-08-31,37,33,4,open
F2-102,2026-09-01,12,10,2,open
F2-104,2026-09-01,12,10,2,open
F2-106,2026-09-01,12,9,3,open
F2-110,2026-09-01,12,12,0,closed
F2-112,2026-09-01,12,9,3,open
F2-114,2026-09-01,12,10,2,open
F2-116,2026-09-01,12,11,1,open
F2-118,2026-09-01,12,7,5,open
F2-122,2026-09-01,12,10,2,open
F2-124,2026-09-01,12,12,0,closed
F2-126,2026-09-01,12,12,0,closed
F2-130,2026-09-01,12,10,2,open
F2-132,2026-09-01,12,11,1,open
F2-134,2026-09-01,12,10,2,open
F2-138,2026-09-01,12,11,1,open
F2-140,2026-09-01,12,8,4,open
F2-142,2026-09-01,50,32,18,open
F2-146,2026-09-01,12,9,3,open
F2-148,2026-09-01,12,7,5,open
F2-150,2026-09-01,12,6,6,open
F2-152,2026-09-01,12,12,0,closed
F2-154,2026-09-01,12,10,2,open
F2-158,2026-09-01,12,12,0,closed
F2-160,2026-09-01,50,38,12,open
F2-162,2026-09-01,50,38,12,open
F2-164,2026-09-01,50,36,14,open
F2-166,2026-09-01,50,41,9,open
F2-168,2026-09-01,50,49,1,open
F2-170,2026-09-01,37,36,1,open
F2-172,2026-09-01,37,37,0,closed
F2-174,2026-09-01,37,35,2,open
F2-176,2026-09-01,37,32,5,open
F2-178,2026-09-01,50,34,16,open
F2-180,2026-09-01,50,35,15,open
F2-182,2026-09-01,50,35,15,open
F2-184,2026-09-01,50,34,16,open
F2-186,2026-09-01,50,42,8,open
F2-188,2026-09-01,50,38,12,open
F2-190,2026-09-01,37,37,0,closed
F2-192,2026-09-01,37,18,19,open
F2-194,2026-09-01,37,32,5,open
F2-196,2026-09-01,37,36,1,open
F2-104,2026-09-02,12,10,2,open
F2-106,2026-09-02,12,11,1,open
F2-108,2026-09-02,12,12,0,closed
F2-110,2026-09-02,12,12,0,closed
F2-112,2026-09-02,12,10,2,open
F2-114,2026-09-02,12,10,2,open
F2-118,2026-09-02,12,10,2,open
F2-120,2026-09-02,12,9,3,open
F2-122,2026-09-02,12,12,0,closed
F2-126,2026-09-02,12,9,3,open
F2-128,2026-09-02,12,9,3,open
F2-130,2026-09-02,12,9,3,open
F2-132,2026-09-02,12,10,2,open
F2-134,2026-09-02,12,10,2,open
F2-136,2026-09-02,12,8,4,open
F2-138,2026-09-02,12,10,2,open
F2-140,2026-09-02,12,9,3,open
F2-142,2026-09-02,50,49,1,open
F2-144,2026-09-02,12,10,2,open
F2-146,2026-09-02,12,11,1,open
F2-148,2026-09-02,12,11,1,open
F2-150,2026-09-02,12,12,0,closed
F2-152,2026-09-02,12,10,2,open
F2-154,2026-09-02,12,11,1,open
F2-156,2026-09-02,12,12,0,closed
F2-158,2026-09-02,12,11,1,open
F2-160,2026-09-02,50,34,16,open
F2-162,2026-09-02,50,50,0,closed
F2-164,2026-09-02,50,31,19,open
F2-166,2026-09-02,50,38,12,open
F2-168,2026-09-02,50,44,6,open
F2-170,2026-09-02,37,33,4,open
F2-172,2026-09-02,37,21,16,open
F2-174,2026-09-02,37,31,6,open
F2-176,2026-09-02,37,34,3,open
F2-178,2026-09-02,50,35,15,open
F2-180,2026-09-02,50,50,0,closed
F2-182,2026-09-02,50,42,8,open
F2-184,2026-09-02,50,29,21,open
F2-186,2026-09-02,50,38,12,open
F2-188,2026-09-02,50,33,17,open
F2-190,2026-09-02,37,32,5,open
F2-192,2026-09-02,37,37,0,closed
F2-194,2026-09-02,37,29,8,open
F2-196,2026-09-02,37,34,3,open
F2-102,2026-09-03,12,8,4,open
F2-104,2026-09-03,12,11,1,open
F2-106,2026-09-03,12,10,2,open
F2-110,2026-09-03,12,12,0,closed
F2-112,2026-09-03,12,7,5,open
F2-114,2026-09-03,12,7,5,open
F2-116,2026-09-03,12,10,2,open
F2-118,2026-09-03,12,9,3,open
F2-122,2026-09-03,12,12,0,closed
F2-124,2026-09-03,12,8,4,open
F2-126,2026-09-03,12,8,4,open
F2-130,2026-09-03,12,10,2,open
F2-132,2026-09-03,12,11,1,open
F2-134,2026-09-03,12,10,2,open
F2-138,2026-09-03,12,11,1,open
F2-140,2026-09-03,12,11,1,open
F2-142,2026-09-03,50,38,12,open
F2-146,2026-09-03,12,9,3,open
F2-148,2026-09-03,12,12,0,closed
F2-150,2026-09-03,12,11,1,open
F2-152,2026-09-03,12,11,1,open
F2-154,2026-09-03,12,7,5,open
F2-158,2026-09-03,12,9,3,open
F2-160,2026-09-03,50,38,12,open
F2-162,2026-09-03,50,31,19,open
F2-164,2026-09-03,50,49,1,open
F2-166,2026-09-03,50,46,4,open
F2-168,2026-09-03,50,41,9,open
F2-170,2026-09-03,37,25,12,open
F2-172,2026-09-03,37,33,4,open
F2-174,2026-09-03,37,20,17,open
F2-176,2026-09-03,37,23,14,open
F2-178,2026-09-03,50,42,8,open
F2-180,2026-09-03,50,42,8,open
F2-182,2026-09-03,50,35,15,open
F2-184,2026-09-03,50,41,9,open
F2-186,2026-09-03,50,50,0,closed
F2-188,2026-09-03,50,48,2,open
F2-190,2026-09-03,37,28,9,open
F2-192,2026-09-03,37,31,6,open
F2-194,2026-09-03,37,27,10,open
F2-196,2026-09-03,37,28,9,open
F2-104,2026-09-04,12,9,3,open
F2-106,2026-09-04,12,11,1,open
F2-108,2026-09-04,12,9,3,open
F2-110,2026-09-04,12,8,4,open
F2-112,2026-09-04,12,6,6,open
F2-114,2026-09-04,12,10,2,open
F2-118,2026-09-04,12,7,5,open
F2-120,2026-09-04,12,12,0,closed
F2-122,2026-09-04,12,8,4,open
F2-126,2026-09-04,12,9,3,open
F2-128,2026-09-04,12,6,6,open
F2-130,2026-09-04,12,11,1,open
F2-132,2026-09-04,12,11,1,open
F2-134,2026-09-04,12,8,4,open
F2-136,2026-09-04,12,8,4,open
F2-138,2026-09-04,12,5,7,open
F2-140,2026-09-04,12,9,3,open
F2-142,2026-09-04,50,47,3,open
F2-144,2026-09-04,12,12,0,closed
F2-146,2026-09-04,12,10,2,open
F2-148,2026-09-04,12,12,0,closed
F2-150,2026-09-04,12,10,2,open
F2-152,2026-09-04,12,9,3,open
F2-154,2026-09-04,12,6,6,open
F2-156,2026-09-04,12,8,4,open
F2-158,2026-09-04,12,10,2,open
F2-160,2026-09-04,50,42,8,open
F2-162,2026-09-04,50,25,25,open
F2-164,2026-09-04,50,39,11,open
F2-166,2026-09-04,50,41,9,open
F2-168,2026-09-04,50,45,5,open
F2-170,2026-09-04,37,32,5,open
F2-172,2026-09-04,37,29,8,open
F2-174,2026-09-04,37,31,6,open
F2-176,2026-09-04,37,30,7,open
F2-178,2026-09-04,50,34,16,open
F2-180,2026-09-04,50,47,3,open
F2-182,2026-09-04,50,43,7,open
F2-184,2026-09-04,50,29,21,open
F2-186,2026-09-04,50,44,6,open
F2-188,2026-09-04,50,46,4,open
F2-190,2026-09-04,37,35,2,open
F2-192,2026-09-04,37,34,3,open
F2-194,2026-09-04,37,31,6,open
F2-196,2026-09-04,37,33,4,open
F2-102,2026-09-05,12,8,4,open
F2-104,2026-09-05,12,10,2,open
F2-106,2026-09-05,12,9,3,open
F2-110,2026-09-05,12,9,3,open
F2-112,2026-09-05,12,10,2,open
F2-114,2026-09-05,12,8,4,open
F2-116,2026-09-05,12,9,3,open
F2-118,2026-09-05,12,9,3,open
F2-122,2026-09-05,12,9,3,open
F2-124,2026-09-05,12,11,1,open
F2-126,2026-09-05,12,12,0,closed
F2-130,2026-09-05,12,7,5,open
F2-132,2026-09-05,12,9,3,open
F2-134,2026-09-05,12,10,2,open
F2-138,2026-09-05,12,11,1,open
F2-140,2026-09-05,12,11,1,open
F2-142,2026-09-05,50,39,11,open
F2-146,2026-09-05,12,11,1,open
F2-148,2026-09-05,12,8,4,open
F2-150,2026-09-05,12,7,5,open
F2-152,2026-09-05,12,7,5,open
F2-154,2026-09-05,12,9,3,open
F2-158,2026-09-05,12,10,2,open
F2-160,2026-09-05,50,37,13,open
F2-162,2026-09-05,50,47,3,open
F2-164,2026-09-05,50,35,15,open
F2-166,2026-09-05,50,38,12,open
F2-168,2026-09-05,50,46,4,open
F2-170,2026-09-05,37,33,4,open
F2-172,2026-09-05,37,27,10,open
F2-174,2026-09-05,37,25,12,open
F2-176,2026-09-05,37,37,0,closed
F2-178,2026-09-05,50,50,0,closed
F2-180,2026-09-05,50,39,11,open
F2-182,2026-09-05,50,40,10,open
F2-184,2026-09-05,50,41,9,open
F2-186,2026-09-05,50,40,10,open
F2-188,2026-09-05,50,49,1,open
F2-190,2026-09-05,37,27,10,open
F2-192,2026-09-05,37,22,15,open
F2-194,2026-09-05,37,37,0,closed
F2-196,2026-09-05,37,36,1,open
F2-104,2026-09-06,12,7,5,open
F2-106,2026-09-06,12,10,2,open
F2-108,2026-09-06,12,7,5,open
F2-110,2026-09-06,12,10,2,open
F2-112,2026-09-06,12,11,1,open
F2-114,2026-09-06,12,8,4,open
F2-118,2026-09-06,12,11,1,open
F2-120,2026-09-06,12,10,2,open
F2-122,2026-09-06,12,10,2,open
F2-126,2026-09-06,12,9,3,open
F2-128,2026-09-06,12,9,3,open
F2-130,2026-09-06,12,12,0,closed
F2-132,2026-09-06,12,9,3,open
F2-134,2026-09-06,12,10,2,open
F2-136,2026-09-06,12,8,4,open
F2-138,2026-09-06,12,7,5,open
F2-140,2026-09-06,12,10,2,open
F2-142,2026-09-06,50,39,11,open
F2-144,2026-09-06,12,10,2,open
F2-146,2026-09-06,12,12,0,closed
F2-148,2026-09-06,12,9,3,open
F2-150,2026-09-06,12,8,4,open
F2-152,2026-09-06,12,9,3,open
F2-154,2026-09-06,12,12,0,closed
F2-156,2026-09-06,12,10,2,open
F2-158,2026-09-06,12,11,1,open
F2-160,2026-09-06,50,33,17,open
F2-162,2026-09-06,50,50,0,closed
F2-164,2026-09-06,50,43,7,open
F2-166,2026-09-06,50,40,10,open
F2-168,2026-09-06,50,43,7,open
F2-170,2026-09-06,37,27,10,open
F2-172,2026-09-06,37,29,8,open
F2-174,2026-09-06,37,37,0,closed
F2-176,2026-09-06,37,32,5,open
F2-178,2026-09-06,50,35,15,open
F2-180,2026-09-06,50,43,7,open
F2-182,2026-09-06,50,48,2,open
F2-184,2026-09-06,50,43,7,open
F2-186,2026-09-06,50,43,7,open
F2-188,2026-09-06,50,35,15,open
F2-190,2026-09-06,37,37,0,closed
F2-192,2026-09-06,37,29,8,open
F2-194,2026-09-06,37,31,6,open
F2-196,2026-09-06,37,31,6,open
F2-104,2026-09-07,12,11,1,open
F2-106,2026-09-07,12,9,3,open
F2-108,2026-09-07,12,7,5,open
F2-110,2026-09-07,12,12,0,closed
F2-112,2026-09-07,12,8,4,open
F2-114,2026-09-07,12,11,1,open
F2-118,2026-09-07,12,12,0,closed
F2-120,2026-09-07,12,8,4,open
F2-122,2026-09-07,12,12,0,closed
F2-126,2026-09-07,12,10,2,open
F2-128,2026-09-07,12,12,0,closed
F2-130,2026-09-07,12,10,2,open
F2-132,2026-09-07,12,9,3,open
F2-134,2026-09-07,12,10,2,open
F2-136,2026-09-07,12,11,1,open
F2-138,2026-09-07,12,10,2,open
F2-140,2026-09-07,12,10,2,open
F2-142,2026-09-07,50,43,7,open
F2-144,2026-09-07,12,12,0,closed
F2-146,2026-09-07,12,7,5,open
F2-148,2026-09-07,12,8,4,open
F2-150,2026-09-07,12,8,4,open
F2-152,2026-09-07,12,9,3,open
F2-154,2026-09-07,12,10,2,open
F2-156,2026-09-07,12,11,1,open
F2-158,2026-09-07,12,10,2,open
F2-160,2026-09-07,50,41,9,open
F2-162,2026-09-07,50,49,1,open
F2-164,2026-09-07,50,34,16,open
F2-166,2026-09-07,50,36,14,open
F2-168,2026-09-07,50,43,7,open
F2-170,2026-09-07,37,33,4,open
F2-172,2026-09-07,37,24,13,open
F2-174,2026-09-07,37,30,7,open
F2-176,2026-09-07,37,35,2,open
F2-178,2026-09-07,50,39,11,open
F2-180,2026-09-07,50,40,10,open
F2-182,2026-09-07,50,45,5,open
F2-184,2026-09-07,50,36,14,open
F2-186,2026-09-07,50,35,15,open
F2-188,2026-09-07,50,50,0,closed
F2-190,2026-09-07,37,25,12,open
F2-192,2026-09-07,37,35,2,open
F2-194,2026-09-07,37,30,7,open
F2-196,2026-09-07,37,37,0,closed
F2-102,2026-09-08,12,9,3,open
F2-104,2026-09-08,12,10,2,open
F2-106,2026-09-08,12,9,3,open
F2-110,2026-09-08,12,11,1,open
F2-112,2026-09-08,12,8,4,open
F2-114,2026-09-08,12,9,3,open
F2-116,2026-09-08,12,9,3,open
F2-118,2026-09-08,12,8,4,open
F2-122,2026-09-08,12,11,1,open
F2-124,2026-09-08,12,10,2,open
F2-126,2026-09-08,12,9,3,open
F2-130,2026-09-08,12,11,1,open
F2-132,2026-09-08,12,10,2,open
F2-134,2026-09-08,12,9,3,open
F2-138,2026-09-08,12,11,1,open
F2-140,2026-09-08,12,10,2,open
F2-142,2026-09-08,50,39,11,open
F2-146,2026-09-08,12,8,4,open
F2-148,2026-09-08,12,7,5,open
F2-150,2026-09-08,12,12,0,closed
F2-152,2026-09-08,12,10,2,open
F2-154,2026-09-08,12,10,2,open
F2-158,2026-09-08,12,11,1,open
F2-160,2026-09-08,50,40,10,open
F2-162,2026-09-08,50,44,6,open
F2-164,2026-09-08,50,37,13,open
F2-166,2026-09-08,50,49,1,open
F2-168,2026-09-08,50,42,8,open
F2-170,2026-09-08,37,35,2,open
F2-172,2026-09-08,37,24,13,open
F2-174,2026-09-08,37,25,12,open
F2-176,2026-09-08,37,27,10,open
F2-178,2026-09-08,50,50,0,closed
F2-180,2026-09-08,50,44,6,open
F2-182,2026-09-08,50,35,15,open
F2-184,2026-09-08,50,44,6,open
F2-186,2026-09-08,50,45,5,open
F2-188,2026-09-08,50,35,15,open
F2-190,2026-09-08,37,22,15,open
F2-192,2026-09-08,37,25,12,open
F2-194,2026-09-08,37,36,1,open
F2-196,2026-09-08,37,37,0,closed
F2-104,2026-09-09,12,8,4,open
F2-106,2026-09-09,12,9,3,open
F2-108,2026-09-09,12,12,0,closed
F2-110,2026-09-09,12,9,3,open
F2-112,2026-09-09,12,10,2,open
F2-114,2026-09-09,12,11,1,open
F2-118,2026-09-09,12,10,2,open
F2-120,2026-09-09,12,12,0,closed
F2-122,2026-09-09,12,9,3,open
F2-126,2026-09-09,12,8,4,open
F2-128,2026-09-09,12,10,2,open
F2-130,2026-09-09,12,10,2,open
F2-132,2026-09-09,12,7,5,open
F2-134,2026-09-09,12,10,2,open
F2-136,2026-09-09,12,9,3,open
F2-138,2026-09-09,12,10,2,open
F2-140,2026-09-09,12,10,2,open
F2-142,2026-09-09,50,45,5,open
F2-144,2026-09-09,12,9,3,open
F2-146,2026-09-09,12,11,1,open
F2-148,2026-09-09,12,10,2,open
F2-150,2026-09-09,12,9,3,open
F2-152,2026-09-09,12,12,0,closed
F2-154,2026-09-09,12,10,2,open
F2-156,2026-09-09,12,9,3,open
F2-158,2026-09-09,12,11,1,open
F2-160,2026-09-09,50,36,14,open
F2-162,2026-09-09,50,35,15,open
F2-164,2026-09-09,50,50,0,closed
F2-166,2026-09-09,50,46,4,open
F2-168,2026-09-09,50,48,2,open
F2-170,2026-09-09,37,25,12,open
F2-172,2026-09-09,37,33,4,open
F2-174,2026-09-09,37,33,4,open
F2-176,2026-09-09,37,22,15,open
F2-178,2026-09-09,50,40,10,open
F2-180,2026-09-09,50,33,17,open
F2-182,2026-09-09,50,42,8,open
F2-184,2026-09-09,50,35,15,open
F2-186,2026-09-09,50,32,18,open
F2-188,2026-09-09,50,31,19,open
F2-190,2026-09-09,37,37,0,closed
F2-192,2026-09-09,37,30,7,open
F2-194,2026-09-09,37,33,4,open
F2-196,2026-09-09,37,31,6,open
